# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
Si,0.2181,56.924,1
Si,0.3335,0,0
Si,0.3335,54.636,0
Si,0.5369,50.356,0
Si,0.4331,53.466,1
C,0.2181,37.201,1
C,0.4099,29.209,0
C,0.2181,46.494,1
C,0.4156,37.463,0
Si,0.4291,54.677,1
Si,0.4017,42.54,1
C,0.2181,27.695,1
C,0.2181,46.284,1
Si,0.4317,65.603,1
C,0.4313,51.576,1
Si,0.2181,76.93,1
Si,0.3186,42.677,0
Si,0.4183,0,0
Si,0.4183,41.245,0
C,0.433,37.524,1
C,0.4224,47.073,1
C,0.776,28.33,0
Si,0.2181,55.921,1
Si,0.3225,0,0
Si,0.3225,53.731,0
C,0.2181,40.422,1
C,0.4219,31.007,0
C,0.4218,51.335,1
C,0.2181,29.105,1
C,0.4021,0.13745,0
C,0.4021,26.967,0
Si,0.4275,47.962,1
C,0.5688,35.988,0
C,0.2181,34.482,1
C,0.2181,66.231,1
C,0.2181,43.818,1
C,0.3941,28.756,0
Si,0.2181,58.065,1
C,0.2181,54.324,1
Si,0.2181,49.986,1
C,0.2567,37.563,0
C,0.357,34.254,0
Si,0.2181,45.881,1
C,0.4226,39.75,1
Si,0.2181,42.326,1
Si,0.2181,64.318,1
C,0.3915,34.558,0
Si,0.2181,83.604,1
C,0.2181,43.402,1
C,0.4209,0,0
C,0.4209,40.412,0
C,0.6359,39.1,0
C,0.2181,36.804,1
Si,0.2181,53.169,1
Si,0.6451,43.27,1
C,0.2181,27.502,1
C,0.4155,32.005,1
C,0.2181,45.997,1
C,0.4261,30.433,1
Si,0.2181,51.847,1
C,0.2181,47.853,1
Si,0.4239,52.849,1
Si,0.2181,47.26,1
C,0.3406,39.215,0
C,0.2181,64.049,1
Si,0.407,48.081,0
Si,0.2181,61.278,1
Si,0.6439,51.181,1
Si,0.2181,64.428,1
Si,0.4316,60.22,0
Si,0.6421,43.306,0
Si,0.2181,55.559,1
C,0.368,33.228,0
Si,0.2181,55.102,1
C,0.2181,26.938,1
C,0.2181,51.214,1
C,0.6112,28.28,1
C,0.2181,62.68,1
C,0.435,38.92,0
C,0.8157,25.509,0
Si,0.6455,40.177,1
C,0.9254,27.312,0
C,0.2181,55.19,1
C,0.4316,36.868,0
Si,0.4332,60.609,1
Si,0.4323,48.924,1
C,0.2181,27.401,1
C,0.4317,29.031,1
C,0.6351,29.267,1
Si,0.2181,83.668,1
Si,0.2181,60.573,1
C,0.6067,26.161,0
Si,0.4288,60.189,1
C,0.2181,55.45,1
Si,0.632,59.593,1
Si,0.2181,50.246,1
Si,0.2181,74.287,1
C,0.3181,34.548,0
C,0.4174,29.55,0
C,0.2181,52.509,1
Si,0.2181,40.442,1
Si,0.2181,79.042,1
Si,0.2931,66.157,0
Si,0.6352,46.421,1
C,0.4319,41.383,1
Si,0.4088,53.41,1
Si,0.2181,83.275,1
Si,0.3694,78.715,0
C,1.004,25.074,0
C,0.4289,41.254,1
C,0.2181,54.568,1
C,0.2181,46.215,1
C,0.4262,28.23,1
C,0.2181,55.689,1
C,0.2181,40.007,1
C,0.4039,0,0
C,0.4039,34.653,0
C,0.2181,53.749,1
C,0.4301,0,0
C,0.4301,51.185,0
C,0.647,42.17,0
Si,0.2181,57.701,1
Si,0.4354,49.722,0
Si,0.65,55.069,1
C,0.761,34.175,0
Si,0.2181,59.837,1
C,0.4032,46.714,0
C,0.6107,0.22409,0
C,0.6107,41.463,0
Si,0.2181,87.488,1
Si,0.3881,45.654,0
C,0.5258,27.789,0
Si,0.4211,45.027,1
C,0.5432,35.756,0
C,0.4128,32.553,1
C,0.2181,50.341,1
Si,0.6403,47.062,1
C,0.2181,61.919,1
Si,0.6297,51.848,1
C,0.2181,55.571,1
C,0.4034,0,0
C,0.4034,53.348,0
C,0.4253,30.132,1
C,0.2181,33.992,1
Si,0.4267,45.902,1
C,0.4225,30.939,1
Si,0.2181,55.997,1
Si,0.3352,44.958,0
C,0.6077,28.849,1
Si,0.2181,60.039,1
C,0.3378,45.538,0
Si,0.614,46.363,1
Si,0.2181,47.353,1
C,0.4274,31.36,1
C,0.6037,0,0
C,0.6037,29.104,0
Si,0.4304,40.354,1
Si,0.4166,45.376,1
C,0.5927,33.987,0
Si,0.4321,59.025,1
Si,0.2181,76.011,1
C,0.2181,50.303,1
Si,0.2181,62.986,1
C,0.4008,39.133,0
Si,0.6479,44.875,1
C,0.2181,48.374,1
Si,0.2181,45.224,1
Si,0.4331,45.726,1
C,0.2181,63.147,1
Si,0.4032,49.807,0
Si,0.2181,76.319,1
Si,0.3854,47.135,0
Si,0.2181,48.85,1
C,0.2561,33.113,0
C,0.2181,27.535,1
C,0.2181,39.791,1
C,0.3312,0.06875,0
C,0.3312,37.722,0
C,0.4264,36.528,1
C,0.4084,27.835,1
Si,0.2181,70.147,1
C,0.3708,25.525,0
Si,0.4219,48.769,1
Si,0.2181,53.445,1
Si,0.2181,58.095,1
Si,0.2181,84.489,1
Si,0.365,53.306,0
Si,0.5092,42.464,0
C,0.6824,33.795,0
Si,0.4241,70.437,1
Si,0.2181,45.566,1
Si,0.2181,44.756,1
Si,0.2181,48.121,1
Si,0.2181,55.931,1
Si,0.2181,65.234,1
Si,0.2181,69.539,1
Si,0.6274,40.252,1
Si,0.2181,88.854,1
C,0.4057,45.21,0
C,0.2181,41.598,1
Si,0.2181,96.726,1
Si,0.4282,80.615,0
Si,0.431,53.936,1
Si,0.2181,63.38,1
Si,0.2181,80.317,1
Si,0.3711,47.114,0
Si,0.2181,56.147,1
Si,0.2967,0.34244,0
Si,0.2967,55.805,0
C,0.5098,29.18,0
Si,0.3899,40.062,1
C,0.604,37.756,1
C,0.4311,36.23,1
Si,0.2181,76.011,1
C,0.4326,40.812,1
C,0.2181,27.14,1
C,0.2181,49.926,1
C,0.4173,40.313,0
C,0.2181,63.663,1
Si,0.4179,50.578,0
C,0.2181,29.661,1
Si,0.2181,72.891,1
C,0.3474,50.614,0
C,0.6248,25.155,1
C,0.2181,47.528,1
C,0.2181,27.455,1
C,0.3486,0,0
C,0.3486,25.445,0
Si,0.4284,58.487,1
C,0.5767,41.317,0
C,0.2181,41.405,1
Si,0.4261,46.066,1
C,0.2181,52.592,1
Si,0.4321,51.54,1
Si,0.6305,55.348,1
C,0.7789,43.267,0
C,0.9815,28.918,0
C,0.2181,48.666,1
C,0.3557,39.516,0
Si,0.4295,47.673,1
Si,0.2181,81.339,1
C,0.3986,66.09,0
Si,0.6116,50.008,0
C,0.4323,38.539,1
C,0.4238,39.613,1
C,0.2181,55.128,1
C,0.404,0,0
C,0.404,53.118,0
C,1.031,0,0
C,1.031,30.052,0
Si,0.4329,68.392,1
C,0.5845,41.369,0
C,0.2181,31.447,1
C,0.4236,29.375,1
C,0.2181,41.024,1
Si,0.2181,54.285,1
C,0.2922,38.783,0
Si,0.2181,73.975,1
C,0.4103,28.393,0
Si,0.4277,47.573,1
Si,0.5697,45.721,0
C,0.2181,63.01,1
C,0.426,44.305,1
C,0.2181,55.222,1
Si,0.2181,60.99,1
C,0.2664,39.939,0
C,0.2181,42.164,1
Si,0.2181,54.505,1
C,0.265,27.748,0
Si,0.2181,74.498,1
Si,0.3999,52.66,0
C,0.425,26.195,1
Si,0.6495,41.689,1
Si,0.2181,50.145,1
Si,0.2181,80.58,1
Si,0.3807,60.638,0
Si,0.2181,41.245,1
Si,0.2181,60.725,1
C,0.3123,26.8,0
Si,0.2181,48.32,1
C,0.3065,30.43,0
C,0.432,0,0
C,0.432,30.348,0
Si,0.2181,42.965,1
Si,0.3167,0,0
Si,0.3167,42.294,0
Si,0.3978,43.059,1
Si,0.2181,75.26,1
C,0.3765,46.395,0
C,0.9651,26.526,0
Si,0.2181,40.904,1
C,0.2181,51.436,1
C,0.2181,27.638,1
C,0.4278,44.638,1
C,0.5952,29.89,1
Si,0.2181,95.73,1
Si,0.2181,52.452,1
Si,0.6361,40.738,1
C,0.4326,41.275,1
Si,0.2181,49.736,1
Si,0.2181,51.771,1
C,0.4317,43.058,1
