# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
Ti,0.5785,40.526,1
O,0.5861,24.317,0
O,0.4266,21.935,1
Ti,0.2186,45.493,1
O,0.426,32.177,0
O,0.4311,49.096,1
O,0.6487,37.253,1
O,0.2186,31.52,1
O,0.4245,38.874,1
O,0.5819,0.45782,0
O,0.5819,33.121,0
O,0.2186,45.558,1
O,0.3134,19.096,0
O,0.2186,57.243,1
O,0.5581,24.212,0
Ti,0.4118,52.832,1
O,0.4867,19.846,0
Ti,0.432,68.62,1
Ti,0.4639,51.646,0
O,0.2186,64.196,1
O,0.5124,26.404,0
Ti,0.2186,55.87,1
O,0.5639,24.247,0
O,0.2186,55.789,1
O,0.4339,23.972,0
O,0.5786,19.597,0
Ti,0.4169,76.874,1
Ti,0.4068,66.866,0
O,0.3809,47.372,0
O,0.2857,0,0
O,0.2857,47.081,0
O,0.0705,43.993,0
Ti,0.2186,71.701,1
O,0.4221,19.29,0
O,0.3057,20.771,1
O,0.4159,41.215,1
O,0.2186,74.879,1
O,0.3974,69.339,0
O,0.4242,28.395,1
O,0.2186,69.802,1
O,0.3761,0.056109,0
O,0.3761,67.746,0
O,0.422,21.32,1
Ti,0.2186,52.038,1
Ti,0.3296,0.43081,0
Ti,0.3296,40.71,0
Ti,0.2186,97.983,1
O,0.4189,36.629,1
O,0.2186,40.316,1
O,0.4107,28.195,0
O,0.421,24.929,1
O,0.6142,19.37,1
Ti,0.2186,81.772,1
Ti,0.4509,0,0
Ti,0.4509,54.47,0
O,0.6675,23.68,0
O,0.3227,23.224,0
O,0.2186,69.544,1
O,0.4366,59.582,0
O,0.2186,35.868,1
O,0.2186,22.031,1
O,0.5704,27.189,1
O,0.2186,45.801,1
Ti,0.4064,61.046,1
O,0.4598,40.992,0
O,0.2186,24.079,1
Ti,0.4272,69.3,1
O,0.428,31.682,0
O,0.2186,45.487,1
O,0.3756,38.557,0
Ti,0.2186,85.11,1
Ti,0.1823,44.888,0
O,0.2186,30.024,1
O,0.6143,32.112,1
O,0.2186,36.448,1
O,0.3037,0.6539,0
O,0.3037,30.609,0
O,0.4654,29.534,0
O,0.2186,49.688,1
O,0.4196,40.333,1
O,0.2186,38.829,1
O,0.3012,25.577,0
O,0.2186,37.646,1
O,0.2186,37.882,1
O,0.4136,47.487,1
O,0.2186,61.596,1
O,0.4245,0,0
O,0.4245,56.733,0
O,0.8249,29.909,0
O,0.6512,33.108,1
O,0.8567,25.488,1
O,0.2186,65.686,1
O,0.43,19.637,1
O,0.4304,31.624,1
O,0.8632,27.015,1
O,0.2186,74.852,1
Ti,0.4358,54.109,0
O,0.8361,21.07,0
Ti,0.2186,44.609,1
Ti,0.644,67.379,1
O,0.6447,49.186,0
O,0.5241,19.175,0
O,0.2186,52.951,1
O,0.3647,38.609,0
Ti,0.2186,46.156,1
O,0.2186,45.29,1
O,0.4235,21.867,0
O,0.2186,55.883,1
O,0.4124,0,0
O,0.4124,52.126,0
O,0.8958,19.523,0
O,0.4286,36.713,1
O,0.3929,52.214,1
O,0.5654,21.679,0
O,0.2186,19.332,1
O,0.646,35.26,1
O,0.2186,54.76,1
O,0.4313,0,0
O,0.4313,49.593,0
O,0.6429,21.744,0
O,0.4043,48.799,1
O,0.5791,29.549,0
O,0.2186,47.624,1
O,0.3683,40.401,0
Ti,0.4254,54.112,1
O,0.6286,24.853,1
O,0.4135,22.208,1
O,0.2186,31.447,1
O,0.2186,43.092,1
O,0.5715,34.036,1
O,0.2186,22.528,1
Ti,0.4273,42.746,1
Ti,0.2186,66.468,1
Ti,0.3609,61.953,0
O,0.8266,35.809,1
O,0.2186,51.498,1
O,0.2186,49.379,1
O,0.2186,62.011,1
O,0.4305,52.227,0
O,0.3869,25.385,1
O,0.6303,50.147,1
O,1.027,27.646,0
O,0.2186,22.432,1
O,0.3311,0.64535,0
O,0.3311,19.787,0
O,0.6318,34.921,1
O,0.4326,55.893,1
Ti,0.4181,53.306,1
O,0.5558,33.091,0
O,0.7327,0,0
O,0.7327,30.99,0
O,0.2186,62.679,1
O,0.7243,33.769,0
O,0.9215,0,0
O,0.9215,31.665,0
O,0.6072,20.719,1
Ti,0.4256,56.174,1
Ti,0.4281,65.984,1
Ti,0.4304,56.368,1
O,0.2186,48.8,1
O,0.5172,25.834,0
Ti,0.2186,68.284,1
O,0.247,22.633,0
O,0.4328,36.38,1
O,0.2186,41.056,1
O,0.3186,19.484,0
O,0.5848,44.342,1
Ti,0.2186,97.98,1
Ti,0.1041,63.758,0
O,0.2186,45.874,1
O,0.409,21.802,0
O,0.2186,69.259,1
O,0.4049,56.792,0
O,0.8054,39.53,0
O,0.2186,61.751,1
O,0.5337,19.529,0
O,0.351,37.826,0
O,0.4253,32.863,1
O,0.3836,26.897,1
O,0.432,46.222,1
O,0.6448,23.835,1
O,0.8196,25.936,1
Ti,0.2186,44.819,1
O,0.2275,32.552,0
O,0.2742,0,0
O,0.2742,31.926,0
O,0.409,45.814,1
O,0.4303,43.815,1
O,0.6147,19.379,1
Ti,0.2186,91.61,1
O,0.1136,27.373,0
O,0.03411,26.234,0
O,0.2186,50.554,1
O,0.4191,25.591,1
Ti,0.2186,90.888,1
O,0.177,24.16,0
O,0.2266,51.309,0
O,0.1751,22.194,0
Ti,0.2186,64.844,1
Ti,0.4003,62.105,0
O,0.6123,45.091,0
O,0.4325,37.541,1
O,0.5934,0.65161,0
O,0.5934,31.654,0
O,0.2186,35.891,1
O,0.3592,25.159,0
O,0.4223,20.497,1
O,0.2186,74.237,1
O,0.6112,0,0
O,0.6112,52.177,0
O,1.018,23.112,0
O,0.2186,75.892,1
O,0.4347,24.663,0
O,0.431,38.756,1
O,0.6,20.231,0
O,0.2186,36.182,1
O,0.305,0,0
O,0.305,34.031,0
O,0.5206,23.119,0
Ti,0.423,48.422,1
O,0.4856,22.076,0
O,0.2186,47.399,1
Ti,0.6171,39.919,1
O,0.6387,24.787,0
O,0.2186,41.032,1
O,0.2186,60.501,1
O,0.4253,0,0
O,0.4253,58.458,0
O,0.6439,0.68842,0
O,0.6439,57.77,0
O,0.2186,40.975,1
O,0.3225,0,0
O,0.3225,38.657,0
O,0.5372,24.859,0
Ti,0.4216,44.889,1
O,0.2186,63.772,1
O,0.404,24.598,1
O,0.2186,38.84,1
O,0.2186,48.363,1
O,0.4265,0,0
O,0.4265,46.224,0
O,0.6447,0,0
